tanggal,ulasan,sentimen,ulasan_bersih
2025-11-13,Sangat merekomendasikan PMI Cirebon untuk pengalaman berdonor yang aman.,Positif,sangat rekomendasi pmi cirebon alam donor aman
2025-11-13,"Pengalaman donor buruk, lambat, dan membuat saya menyesal.",Negatif,alam donor buruk lambat buat sesal
2025-11-14,Pelayanan 24 jam sangat membantu warga yang sibuk bekerja shift.,Positif,layan jam sangat bantu warga sibuk kerja shift
2025-11-14,Mantap pelayanannya sangat prima dan memanjakan para pahlawan darah.,Positif,mantap layan sangat prima manja pahlawan darah
2025-11-14,Proses cek tekanan darah dilakukan dengan alat modern yang sangat akurat.,Positif,proses cek tekan darah laku alat modern sangat akurat
2025-11-15,Kunjungan berjalan wajar tanpa kejadian khusus.,Netral,kunjung jalan wajar jadi khusus
2025-11-15,Sangat efisien dari loket daftar sampai ruang observasi pemulihan.,Positif,sangat efisien loket daftar ruang observasi pulih
2025-11-16,Terima kasih atas keramahan seluruh staf yang bertugas melayani hari ini.,Positif,terima kasih atas ramah seluruh staf tugas layan hari
2025-11-16,Vena saya yang kecil bisa langsung ditemukan oleh perawat tanpa kendala.,Positif,vena yang kecil langsung temu awat kendala
2025-11-17,Parkiran sangat becek sehabis hujan mohon diperbaiki paving bloknya.,Negatif,parkir sangat becek habis hujan mohon baik paving blok
2025-11-17,Toilet dan musala sangat bersih serta terawat dengan sangat baik.,Positif,toilet musala sangat bersih awat sangat baik
2025-11-18,Prosedur screening berjalan sesuai standar operasional yang baku.,Netral,prosedur screening jalan sesuai standar operasional baku
2025-11-18,Sangat terbantu dengan panduan alur donor yang dipasang di berbagai sudut ruangan.,Positif,sangat bantu pandu alur donor pasang bagai sudut ruang
2025-11-19,Pelayanan profesional dengan hasil yang memuaskan.,Positif,layan profesional hasil muas
2025-11-19,Perawat sangat sopan dan selalu meminta izin sebelum melakukan tindakan penyuntikan.,Positif,awat sangat sopan selalu minta izin laku tindak sunti
2025-11-19,Ruangan observasi sangat nyaman dilengkapi televisi dan majalah.,Positif,ruang observasi sangat nyaman lengkap televisi majalah
2025-11-20,Pelayanan memuaskan dari waktu ke waktu terus meningkat.,Positif,layan muas waktu waktu terus tingkat
2025-11-20,Petugas pendaftaran kurang fokus dan malah asyik mengobrol sendiri saat melayani.,Negatif,tugas daftar kurang fokus malah asyik obrol sendiri layan
2025-11-21,Petugas cepat tanggap menangani pendonor yang terlihat pucat pusing.,Positif,tugas cepat tanggap tangan donor lihat pucat pusing
2025-11-21,Kapas dan plester ditutup dengan sangat rapi dan darah tidak rembes.,Positif,kapas plester tutup sangat rapi darah rembes
2025-11-22,Pengalaman standar tanpa hal yang spesial.,Netral,alam standar hal spesial
2025-11-22,Sangat puas mendonorkan darah secara rutin di tempat yang sebersih ini.,Positif,sangat puas donor darah rutin tempat bersih
2025-11-23,Sangat mudah proses pendaftarannya apalagi sekarang pakai mesin antrean.,Positif,sangat mudah proses daftar sekarang pakai mesin antre
2025-11-23,Dokter jaga selalu standby dan sigap melayani konsultasi tensi yang bermasalah.,Positif,dokter jaga selalu standby sigap layan konsultasi tensi masalah
2025-11-23,PMI Cirebon juara dalam memberikan pelayanan donor.,Positif,pmi cirebon juara beri layan donor
2025-11-24,Tidak ada masalah sejauh ini pelayanan berjalan standar UDD.,Netral,ada masalah jauh layan jalan standar udd
2025-11-24,Pelayanannya cepat jadi saya bisa langsung kembali beraktivitas ke kantor.,Positif,layan cepat jadi bisa langsung aktivitas kantor
2025-11-25,Saya menyesal memilih tempat ini karena layanannya parah.,Negatif,sesal pilih tempat karena layan parah
2025-11-25,Sangat mengapresiasi kinerja seluruh petugas PMI yang tak kenal lelah.,Positif,sangat apresiasi kerja seluruh tugas pmi tak kenal lelah
2025-11-26,Sangat edukatif banyak banner informasi kesehatan yang berguna di ruang tunggu.,Positif,sangat edukatif banyak banner informasi sehat guna ruang tunggu
2025-11-26,Layanannya sangat berkelas dan profesional setara klinik swasta.,Positif,layan sangat kelas profesional tara klinik swasta
2025-11-26,"Pelayanan lumayan, tidak terlalu cepat maupun lambat.",Netral,layan lumayan terlalu cepat maupun lambat
2025-11-27,Sangat terbantu dengan informasi ketersediaan golongan darah di layar monitor.,Positif,sangat bantu informasi sedia golong darah layar monitor
2025-11-27,Saya merasa sangat dihargai sebagai pahlawan kemanusiaan oleh para staf.,Positif,rasa sangat harga pahlawan manusia para staf
2025-11-28,Kunjungan yang lancar tanpa ada hambatan operasional sama sekali.,Netral,kunjung lancar ada hambat operasional sama sekali
2025-11-28,Fasilitas lengkap dan prosedur kebersihan selalu dijaga dengan ketat.,Positif,fasilitas lengkap prosedur bersih selalu jaga ketat
2025-11-28,Suara speaker pemanggilan nomor antrean terlalu melengking dan bikin kaget.,Negatif,suara speaker panggil nomor antre terlalu lengking bikin kaget
2025-11-29,Antrean sangat tertib dan kursi ruang tunggunya sangat memadai bagi pengantar.,Positif,antre sangat tertib kursi ruang tunggu sangat pada antar
2025-11-29,Pengalaman donor yang berkesan. Akan rutin mengajak rekan kerja ke sini.,Positif,alam donor kesan rutin ajak rekan kerja sini
2025-11-29,Daya tanggap security mengatur kelancaran parkir motor sangat patut dipuji.,Positif,daya tanggap security atur lancar parkir motor sangat patut puji
2025-11-30,Donor rutin bulanan prosedur standar dijalankan dengan baik.,Netral,donor rutin bulan prosedur standar jalan baik
2025-11-30,Semua proses dari ujung ke ujung berlangsung cepat tanggap dan memuaskan.,Positif,semua proses ujung ujung langsung cepat tanggap muas
2025-11-30,PMI Cirebon adalah contoh pelayanan publik yang bersih cepat dan aman.,Positif,pmi cirebon contoh layan publik bersih cepat aman
2025-12-01,Pelayanan akhir tahun yang sangat memuaskan dari PMI Kota Cirebon.,Positif,layan akhir tahun sangat muas pmi kota cirebon
2025-12-01,Petugas medis sangat cekatan dan senyumnya membuat pendonor merasa tenang.,Positif,tugas medis sangat cekat senyum buat donor rasa tenang
2025-12-02,Sistem komputer lelet sehingga pendaftaran menjadi sangat lambat.,Negatif,sistem komputer lelet daftar jadi sangat lambat
2025-12-02,Kunjungan donor rutin tiga bulanan. Pelayanan berjalan wajar seperti biasa.,Netral,kunjung donor rutin tiga bulan layan jalan wajar biasa
2025-12-03,Fasilitas gedung sangat sejuk bersih dan wangi.,Positif,fasilitas gedung sangat sejuk bersih wangi
2025-12-03,Pengambilan darah berjalan lancar dan sangat steril sesuai prosedur.,Positif,ambil darah jalan lancar sangat steril sesuai prosedur
2025-12-04,Saya kecewa karena keluhan tidak ditanggapi dengan baik.,Negatif,kecewa keluh tanggap baik
2025-12-04,Jarum masuk tanpa terasa sakit sama sekali sangat luar biasa keahlian perawatnya!,Positif,jarum masuk asa sakit sama sekali sangat luar biasa ahli awat
2025-12-05,Kunjungan berlangsung seperti biasa dan cukup lancar.,Netral,kunjung langsung biasa cukup lancar
2025-12-05,Petugas sangat ramah dan sabar melayani pendonor yang banyak bertanya.,Positif,tugas sangat ramah sabar layan donor banyak tanya
2025-12-06,Ruang tunggu sangat nyaman dan banyak kursi untuk pengantar.,Positif,ruang tunggu sangat nyaman banyak kursi antar
2025-12-06,Dokter screening memberikan penjelasan kesehatan yang sangat mudah dipahami.,Positif,dokter screening beri jelas sehat sangat mudah paham
2025-12-07,Sangat efisien tidak butuh waktu lama untuk selesai donor di sini.,Positif,sangat efisien butuh waktu lama selesai donor sini
2025-12-07,Prosedur berjalan normal tidak ada kendala operasional.,Netral,prosedur jalan normal ada kendala operasional
2025-12-08,Selalu senang berdonor di PMI karena pelayanannya memang terbukti bagus.,Positif,selalu senang donor pmi layan memang bukti bagus
2025-12-08,Mesin pencetak nomor antrean kertasnya habis dan lama tidak diisi ulang petugas.,Negatif,mesin cetak nomor antre kertas habis lama isi ulang tugas
2025-12-09,Sangat apresiasi kebersihan area bed donor yang selalu disemprot disinfektan.,Positif,sangat apresiasi bersih area bed donor selalu semprot disinfektan
2025-12-09,Petugas dengan sigap memandu alur dari awal sampai akhir.,Positif,tugas sigap pandu alur awal akhir
2025-12-10,Bingkisan snack sangat bermanfaat untuk memulihkan tenaga sehabis diambil darah.,Positif,bingkis snack sangat manfaat pulih tenaga habis ambil darah
2025-12-10,Sangat responsif menjawab semua pertanyaan dengan sopan dan santun.,Positif,sangat responsif jawab semua tanya sopan santun
2025-12-11,Rutinitas donor berjalan dengan lancar tanpa hambatan apapun.,Netral,rutinitas donor jalan lancar hambat apa
2025-12-11,Pelayanan petugas lab sangat cepat dan hasilnya bisa ditunggu.,Positif,layan tugas lab sangat cepat hasil tunggu
2025-12-12,Suasana ruangan tenang dan tidak berisik bikin nyaman saat darah diambil.,Positif,suasana ruang tenang tidak berisik bikin nyaman darah ambil
2025-12-12,Pengalaman hari ini sangat buruk serta mengecewakan.,Negatif,alam hari sangat buruk kecewa
2025-12-13,Alat yang digunakan selalu ditunjukkan masih tersegel rapi dan baru.,Positif,alat guna selalu tunjuk segel rapi baru
2025-12-13,Sistem komputerisasi membuat pencarian data saya yang lama jadi sangat cepat.,Positif,sistem komputerisasi buat cari data yang lama jadi sangat cepat
2025-12-14,Sangat salut dengan dedikasi para pahlawan kesehatan di PMI Cirebon.,Positif,sangat salut dedikasi pahlawan sehat pmi cirebon
2025-12-14,Semua cukup tertib dan prosesnya wajar.,Netral,semua cukup tertib proses wajar
2025-12-15,Penanganan pasca donor sangat diperhatikan tidak boleh langsung berdiri.,Positif,tangan pasca donor sangat perhati boleh langsung diri
2025-12-15,Sangat merekomendasikan PMI Cirebon untuk pengalaman berdonor yang berkelas.,Positif,sangat rekomendasi pmi cirebon alam donor kelas
2025-12-16,Petugas sombong dan membuat pendonor merasa tidak dihargai.,Negatif,tugas sombong buat donor rasa harga
2025-12-16,Pelayanan di akhir pekan sangat membantu saya yang sibuk kerja di hari biasa.,Positif,layan akhir pekan sangat bantu yang sibuk kerja hari biasa
2025-12-17,Mantap pelayanannya sangat prima dan memanjakan para pahlawan kemanusiaan.,Positif,mantap layan sangat prima manja pahlawan manusia
2025-12-17,Proses cek tekanan darah dan HB dilakukan dengan alat yang sangat modern.,Positif,proses cek tekan darah hb laku alat sangat modern
2025-12-18,Hanya mampir untuk donor rutin. Pelayanan cukup memadai.,Netral,mampir donor rutin layan cukup pada
2025-12-18,Sangat efisien dari loket daftar sampai ruang observasi.,Positif,sangat efisien loket daftar ruang observasi
2025-12-19,Terima kasih atas keramahan seluruh staf yang bertugas melayani dengan senyum.,Positif,terima kasih atas ramah seluruh staf tugas layan senyum
2025-12-19,Vena saya langsung ditemukan oleh perawat tidak perlu ditusuk berkali-kali.,Positif,vena langsung temu awat perlu tusuk kali kali
2025-12-20,Tempat sampah di toilet penuh dan belum dibuang oleh petugas kebersihan.,Negatif,tempat sampah toilet penuh belum buang tugas bersih
2025-12-20,Toilet dan musala sangat bersih serta wangi.,Positif,toilet musala sangat bersih wangi
2025-12-21,Pelayanan cukup memadai untuk donor darah rutin.,Netral,layan cukup pada donor darah rutin
2025-12-21,Sangat terbantu dengan panduan alur yang sangat informatif.,Positif,sangat bantu pandu alur sangat informatif
2025-12-22,Kinerja tim PMI sangat profesional dan luar biasa.,Positif,kerja tim pmi sangat profesional luar biasa
2025-12-22,Perawat sangat sopan dan tangannya ringan saat menyuntik.,Positif,awat sangat sopan tangan ringan suntik
2025-12-22,Ruangan observasi sangat nyaman untuk memulihkan diri pasca donor.,Positif,ruang observasi sangat nyaman pulih diri pasca donor
2025-12-23,Pelayanan memuaskan dari waktu ke waktu terus konsisten.,Positif,layan muas waktu waktu terus konsisten
2025-12-23,Pengalaman donor sangat mengecewakan dan membuat saya menyesal.,Negatif,alam donor sangat kecewa buat sesal
2025-12-24,Petugas cepat tanggap memberikan susu saat saya mengeluh agak kunang-kunang.,Positif,tugas cepat tanggap beri susu saya keluh nang nang
2025-12-24,Kapas dan plester ditutup dengan sangat rapat dan aman.,Positif,kapas plester tutup sangat rapat aman
2025-12-25,"Tidak ada yang istimewa, proses tetap normal.",Netral,ada istimewa proses tetap normal
2025-12-25,Sangat puas mendonorkan darah secara rutin di gedung yang baru ini.,Positif,sangat puas donor darah rutin gedung baru
2025-12-26,Sangat mudah proses pendaftarannya tinggal pencet layar mesin antrean.,Positif,sangat mudah proses daftar tinggal pencet layar mesin antre
2025-12-26,Dokter jaga selalu sigap memberikan edukasi tentang manfaat donor.,Positif,dokter jaga selalu sigap beri edukasi manfaat donor
2025-12-26,Lantainya sangat mengkilap dan bebas dari debu.,Positif,lantai sangat kilap bebas debu
2025-12-27,Tidak ada masalah sejauh ini pelayanan berjalan standar UDD PMI.,Netral,ada masalah jauh layan jalan standar udd pmi
2025-12-27,Pelayanannya cepat jadi bisa disempatkan saat jam istirahat kantor.,Positif,layan cepat jadi sempat jam istirahat kantor
2025-12-27,Petugas sombong dan tidak ramah ketika melayani masyarakat.,Negatif,tugas sombong tidak ramah layan masyarakat
2025-12-28,Sangat mengapresiasi kinerja seluruh tenaga medis yang tetap ramah di akhir tahun.,Positif,sangat apresiasi kerja seluruh tenaga medis tetap ramah akhir tahun
2025-12-28,PMI memberikan layanan mantap dengan proses yang cepat.,Positif,pmi beri layan mantap proses cepat
2025-12-28,Layanannya sangat berkelas bersih dan terpercaya.,Positif,layan sangat kelas bersih percaya
2025-12-29,Pelayanan cukup baik dalam batas yang wajar.,Netral,layan cukup baik batas wajar
2025-12-29,Sangat terbantu dengan aplikasi dan informasi ketersediaan darah.,Positif,sangat bantu aplikasi informasi sedia darah
2025-12-29,Saya merasa sangat bangga bisa mendonor dengan pelayanan sebaik ini.,Positif,rasa sangat bangga donor layan baik
2025-12-30,Kunjungan penutup tahun yang lancar tanpa ada hambatan operasional.,Netral,kunjung tutup tahun lancar ada hambat operasional
2025-12-30,Fasilitas sangat lengkap dan standar kebersihan selalu diutamakan.,Positif,fasilitas sangat lengkap standar bersih selalu utama
2025-12-30,Sayang sekali stok kalender suvenir akhir tahun sudah habis.,Negatif,sayang sekali stok kalender suvenir akhir tahun habis
2025-12-31,Antrean sangat tertib dan ruangannya nyaman meski pengunjung membludak di akhir tahun.,Positif,antre sangat tertib ruang nyaman meski unjung membludak akhir tahun
2025-12-31,Pengalaman donor yang luar biasa. Sukses selalu PMI Kota Cirebon.,Positif,alam donor luar biasa sukses selalu pmi kota cirebon
2025-12-31,Daya tanggap security mengatur parkir sangat membantu kelancaran kendaraan.,Positif,daya tanggap security atur parkir sangat bantu lancar kendara
2025-12-31,Pelayanan standar dan saya merasa sehat setelah rutin berdonor.,Netral,layan standar saya rasa sehat rutin donor
2026-01-01,Pelayanan awal tahun yang sangat ramah dan profesional dari PMI Cirebon.,Positif,layan awal tahun sangat ramah profesional pmi cirebon
2026-01-01,Gedung sangat bersih dan fasilitas ruang tunggunya sangat nyaman.,Positif,gedung sangat bersih fasilitas ruang tunggu sangat nyaman
2026-01-02,Saya rutin berdonor di sini setiap tiga bulan. Layanannya standar saja.,Netral,rutin donor sini tiga bulan layan standar
2026-01-02,Proses administrasi sangat mengecewakan dan tidak profesional.,Negatif,proses administrasi sangat kecewa tidak profesional
2026-01-03,Saya mendapat bantuan cepat dari petugas yang ramah.,Positif,dapat bantu cepat tugas ramah
2026-01-03,Antrean di loket administrasi cukup panjang karena banyak pendonor.,Negatif,antre loket administrasi cukup panjang banyak donor
2026-01-04,Petugas cepat tanggap dan memberikan bantuan dengan ramah.,Positif,tugas cepat tanggap beri bantu ramah
2026-01-04,"Saya datang rutin, pelayanan masih seperti biasa.",Netral,datang rutin layan seperti biasa
2026-01-05,Petugas sangat edukatif menjelaskan pentingnya donor darah secara rutin.,Positif,tugas sangat edukatif jelas penting donor darah rutin
2026-01-05,Snack yang diberikan enak dan cukup untuk memulihkan tenaga.,Positif,snack beri enak cukup pulih tenaga
2026-01-06,Sistem pendaftaran dengan layar digital sangat mempermudah alur antrean.,Positif,sistem daftar layar digital sangat mudah alur antre
2026-01-06,Ruang tunggu agak panas karena ada satu AC yang sepertinya bocor.,Negatif,ruang tunggu panas ada satu ac seperti bocor
2026-01-07,Dokter screening sangat teliti memeriksa tekanan darah saya.,Positif,dokter screening sangat teliti periksa tekan darah
2026-01-07,Sangat puas dengan keramahan dan senyum para staf di sini.,Positif,sangat puas ramah senyum staf sini
2026-01-08,"Semuanya normal, tidak ada masalah berarti hari ini.",Netral,semua normal ada masalah arti hari
2026-01-08,Sangat responsif melayani keluhan dan kebutuhan pendonor.,Positif,sangat responsif layan keluh butuh donor
2026-01-09,Sangat terorganisir dengan rapi dari awal kedatangan sampai pulang.,Positif,sangat organisir rapi awal datang pulang
2026-01-09,Petugas di loket depan kurang ramah saat menjawab pertanyaan saya.,Negatif,tugas loket depan kurang ramah jawab tanya
2026-01-10,Bed donor selalu dibersihkan setiap kali berganti orang. Sangat steril.,Positif,bed donor selalu bersih kali ganti orang sangat steril
2026-01-10,Biasa saja tidak ada yang spesial dari pelayanan hari ini.,Netral,biasa tidak yang spesial layan hari
2026-01-11,Layanan 24 jam ini sangat membantu kami yang baru pulang kerja shift malam.,Positif,layan jam sangat bantu yang baru pulang kerja shift malam
2026-01-11,Sangat salut dengan dedikasi para tenaga kesehatan di PMI Kota Cirebon.,Positif,sangat salut dedikasi tenaga sehat pmi kota cirebon
2026-01-12,Cepat dan tanggap saat saya merasa agak pusing setelah diambil darah.,Positif,cepat tanggap saya rasa pusing ambil darah
2026-01-12,Kertas antrean habis dan lama tidak diisi ulang oleh petugas jaga.,Negatif,kertas antre habis lama isi ulang tugas jaga
2026-01-13,Alat yang digunakan selalu ditunjukkan masih tersegel rapi di depan mata.,Positif,alat guna selalu tunjuk segel rapi depan mata
2026-01-13,Saya merasa sangat dihargai sebagai pahlawan kemanusiaan di sini.,Positif,rasa sangat harga pahlawan manusia sini
2026-01-14,Standar operasional terpenuhi dengan baik dan memadai.,Netral,standar operasional penuh baik pada
2026-01-14,Kapas dan plester ditutup dengan sangat rapi dan darah langsung berhenti.,Positif,kapas plester tutup sangat rapi darah langsung henti
2026-01-15,Fasilitasnya sangat mendukung kenyamanan pengunjung yang datang.,Positif,fasilitas sangat dukung nyaman unjung datang
2026-01-15,Panggilan nomor antrean suaranya kurang jelas terdengar ke belakang.,Negatif,panggil nomor antre suara kurang jelas dengar belakang
2026-01-16,Sangat cepat dan petugas lab-nya cekatan. Layanannya berkelas.,Positif,sangat cepat tugas lab nya cekat layan kelas
2026-01-16,Pelayanan memuaskan dan perawatnya murah senyum semua.,Positif,layan muas awat murah senyum semua
2026-01-17,Rutinitas donor tiga bulanan berjalan dengan lancar tanpa hambatan.,Netral,rutinitas donor tiga bulan jalan lancar hambat
2026-01-17,Petugas dengan sigap membantu mengambilkan air minum hangat.,Positif,tugas sigap bantu ambil air minum hangat
2026-01-18,Sangat merekomendasikan tempat ini bagi yang ingin mulai rutin berdonor.,Positif,sangat rekomendasi tempat bagi ingin mulai rutin donor
2026-01-18,Toilet kotor dan basah tolong petugas *cleaning service* lebih sigap.,Negatif,toilet kotor basah tugas cleaning service lebih sigap
2026-01-19,Pelayanan dari ujung ke ujung sangat sopan dan beretika tinggi.,Positif,layan ujung ujung sangat sopan etika tinggi
2026-01-19,Sangat efisien prosesnya tidak membuang waktu saya sama sekali.,Positif,sangat efisien proses buang waktu sama sekali
2026-01-20,Proses donor berjalan normal seperti biasa tidak ada kendala.,Netral,proses donor jalan normal biasa ada kendala
2026-01-20,Apresiasi untuk satpam yang sangat membantu mengarahkan parkir kendaraan.,Positif,apresiasi satpam sangat bantu arah parkir kendara
2026-01-21,Banyak edukasi menarik yang bisa dibaca di ruang tunggu selama menunggu.,Positif,banyak edukasi tarik bisa baca ruang tunggu lama tunggu
2026-01-21,Semakin hari pelayanannya makin bagus dan ditunjang alat yang modern.,Positif,makin hari layan makin bagus tunjang alat modern
2026-01-22,Saya sangat merekomendasikan tempat ini karena profesional.,Positif,sangat rekomendasi tempat karena profesional
2026-01-22,"Petugas tidak ramah, proses lelet, dan kualitasnya jelek.",Negatif,tugas ramah proses lelet kualitas jelek
2026-01-23,Standar kesehatan terjaga dengan baik. Kunjungan rutin berjalan mulus.,Netral,standar sehat jaga baik kunjung rutin jalan mulus
2026-01-23,Petugas handal sekali vena saya yang tersembunyi bisa langsung ditemukan.,Positif,tugas handal sekali vena yang sembunyi langsung temu
2026-01-24,Sangat apresiasi kebersihan toilet dan musala yang tersedia.,Positif,sangat apresiasi bersih toilet musala sedia
2026-01-24,Layanan prima. Fasilitas gedung baru ini memang memberikan kenyamanan.,Positif,layan prima fasilitas gedung baru memang beri nyaman
2026-01-25,Pengalaman donor darah yang menyenangkan. Akan terus donor di sini.,Positif,alam donor darah senang terus donor sini
2026-01-25,Jarum ditusuk dengan kurang pas sehingga area lengan saya membengkak biru.,Negatif,jarum tusuk kurang pas area lengan bengkak biru
2026-01-26,Pelayanan normal dan fasilitas cukup untuk pendonor.,Netral,layan normal fasilitas cukup donor
2026-01-26,Sangat puas dengan pelayanan yang cepat dan tepat sasaran.,Positif,sangat puas layan cepat tepat sasar
2026-01-27,Ruangan pelayanan terasa sangat higienis bebas dari debu dan kotoran.,Positif,ruang layan asa sangat higienis bebas debu kotor
2026-01-27,Suka dengan sistem antrean yang sudah menggunakan teknologi layar sentuh.,Positif,suka sistem antre sudah guna teknologi layar sentuh
2026-01-28,Satpam sangat cepat tanggap memberikan arahan bagi mobil yang baru masuk.,Positif,satpam sangat cepat tanggap beri arah mobil baru masuk
2026-01-28,Proses observasi pasca donor sangat diperhatikan dengan baik.,Positif,proses observasi pasca donor sangat perhati baik
2026-01-29,Selesai donor tepat waktu tidak ada hal yang istimewa hari ini.,Netral,selesai donor tepat waktu ada yang istimewa hari
2026-01-29,Pelayanan mantap sejak pendaftaran sampai selesai donor.,Positif,layan mantap sejak daftar selesai donor
2026-01-30,Dokter sangat teliti memeriksa tekanan darah dan riwayat minum obat.,Positif,dokter sangat teliti periksa tekan darah riwayat minum obat
2026-01-30,Kondisi toilet kotor serta menimbulkan bau tidak sedap.,Negatif,kondisi toilet kotor timbul bau sedap
2026-01-31,Pelayanan di hari libur tetap maksimal dan petugasnya penuh semangat.,Positif,layan hari libur tetap maksimal tugas penuh semangat
2026-01-31,Sangat menghargai pelayanan petugas hari ini. Mantap sekali.,Positif,sangat harga layan tugas hari mantap sekali
2026-01-31,Kunjungan donor biasa. Berjalan sesuai aturan yang ada.,Netral,kunjung donor biasa jalan sesuai atur ada
2026-01-31,Rutin donor selalu nyaman berdonor di tempat yang profesional ini.,Positif,rutin donor selalu nyaman donor tempat profesional
2026-01-31,Penutupan bulan dengan layanan yang sangat luar biasa dari PMI.,Positif,tutup bulan layan sangat luar biasa pmi
2026-01-31,Fasilitasnya top dan kualitas layanannya memang teruji.,Positif,fasilitas top kualitas layan memang uji
2026-02-01,Pelayanan awal bulan Februari yang sangat cepat dan memuaskan.,Positif,layan awal bulan februari sangat cepat muas
2026-02-01,Ruangan sejuk dan suasananya bikin rileks sebelum diambil darah.,Positif,ruang sejuk suasana bikin rileks ambil darah
2026-02-02,Saya mendapati noda darah di bed donor yang belum dibersihkan sebelum saya berbaring. Ini *biohazard* yang bisa menyebarkan infeksi!,Negatif,dapat noda darah bed donor belum bersih saya baring biohazard bisa sebar infeksi
2026-02-02,Biasa saja sama layaknya pelayanan instansi publik pada umumnya.,Netral,biasa sama layak layan instansi publik umum
2026-02-03,Saya puas dan akan kembali karena layanannya recommended.,Positif,puas akan karena layan recommended
2026-02-03,Petugas ramah dan hasil pelayanan sangat memuaskan.,Positif,tugas ramah hasil layan sangat muas
2026-02-04,Sangat cepat daftar via mesin antrean mandiri sangat efisien.,Positif,sangat cepat daftar via mesin antre mandiri sangat efisien
2026-02-04,Petugas kurang ramah dan terlihat kelelahan saat melayani antrean siang.,Negatif,tugas kurang ramah lihat lelah layan antre siang
2026-02-05,Mendonorkan darah jadi rutinitas yang menyenangkan berkat staf yang baik.,Positif,donor darah jadi rutinitas senang berkat staf baik
2026-02-05,Kunjungan yang lancar tanpa ada hambatan operasional sama sekali.,Netral,kunjung lancar ada hambat operasional sama sekali
2026-02-06,Fasilitas lengkap dan prosedur kebersihan selalu dijaga dengan ketat.,Positif,fasilitas lengkap prosedur bersih selalu jaga ketat
2026-02-06,Sangat terbantu dengan informasi ketersediaan golongan darah di lobi.,Positif,sangat bantu informasi sedia golong darah lobi
2026-02-07,"Semua berjalan standar, tidak ada masalah besar.",Netral,semua jalan standar ada masalah besar
2026-02-07,Layanannya sangat berkelas dan profesional setara klinik swasta.,Positif,layan sangat kelas profesional tara klinik swasta
2026-02-08,Sangat edukatif banyak *banner* informasi kesehatan yang berguna.,Positif,sangat edukatif banyak banner informasi sehat guna
2026-02-08,AC di ruang tunggu mati jadi pendonor kepanasan menunggu giliran.,Negatif,ac ruang tunggu mati jadi donor panas tunggu gilir
2026-02-09,Sangat mengapresiasi kinerja seluruh petugas PMI yang tak kenal lelah.,Positif,sangat apresiasi kerja seluruh tugas pmi tak kenal lelah
2026-02-09,Pelayanannya cepat jadi saya bisa langsung kembali bekerja.,Positif,layan cepat jadi bisa langsung kerja
2026-02-10,Tidak ada masalah sejauh ini pelayanan berjalan standar UDD.,Netral,ada masalah jauh layan jalan standar udd
2026-02-10,Ruangan sangat bersih bebas dari debu dan lantainya mengkilap.,Positif,ruang sangat bersih bebas debu lantai kilap
2026-02-11,Dokter jaga selalu siaga melayani konsultasi tensi yang bermasalah.,Positif,dokter jaga selalu siaga layan konsultasi tensi masalah
2026-02-11,Sangat mudah proses pendaftarannya tidak membingungkan sama sekali.,Positif,sangat mudah proses daftar bingung sama sekali
2026-02-12,Antrean tertib dan kursi ruang tunggunya sangat memadai bagi pengantar.,Positif,antre tertib kursi ruang tunggu sangat pada antar
2026-02-12,Tempat sampah di area ruang tunggu kepenuhan dan bau tidak sedap.,Negatif,tempat sampah area ruang tunggu penuh bau sedap
2026-02-13,Fasilitas standar dengan pelayanan yang cukup.,Netral,fasilitas standar layan cukup
2026-02-13,Kapas dan plester ditutup dengan sangat rapi dan darah tidak rembes.,Positif,kapas plester tutup sangat rapi darah rembes
2026-02-14,Petugas cepat tanggap menangani pendonor yang terlihat pucat.,Positif,tugas cepat tanggap tangan donor lihat pucat
2026-02-14,Pelayanan memuaskan dari waktu ke waktu terus meningkat pesat.,Positif,layan muas waktu waktu terus tingkat pesat
2026-02-15,Saya puas karena prosesnya cepat dan petugasnya ramah.,Positif,puas proses cepat tugas ramah
2026-02-15,Stok bingkisan habis padahal saya pendonor rombongan.,Negatif,stok bingkis habis padahal donor rombong
2026-02-16,Perawat sangat sopan dan selalu meminta izin sebelum menyuntik.,Positif,awat sangat sopan selalu minta izin suntik
2026-02-16,Sangat terorganisir antreannya dari mulai daftar sampai ambil suvenir.,Positif,sangat organisir antre mulai daftar ambil suvenir
2026-02-17,Sangat terbantu dengan panduan alur donor yang dipasang di dinding.,Positif,sangat bantu pandu alur donor pasang dinding
2026-02-17,Prosedur screening berjalan sesuai standar operasional yang baku.,Netral,prosedur screening jalan sesuai standar operasional baku
2026-02-18,Toilet dan musala sangat bersih serta terawat dengan sangat baik.,Positif,toilet musala sangat bersih awat sangat baik
2026-02-18,Vena saya yang kecil bisa langsung ditemukan oleh perawat tanpa kendala.,Positif,vena yang kecil langsung temu awat kendala
2026-02-19,Terima kasih atas keramahan seluruh staf yang bertugas melayani hari ini.,Positif,terima kasih atas ramah seluruh staf tugas layan hari
2026-02-19,Parkiran sangat sempit dan susah keluar saat jam sibuk sore hari.,Negatif,parkir sangat sempit susah keluar jam sibuk sore hari
2026-02-20,Sangat efisien dari loket daftar sampai ruang observasi pemulihan.,Positif,sangat efisien loket daftar ruang observasi pulih
2026-02-20,Hanya mampir untuk donor rutin. Pelayanan cukup memadai.,Netral,mampir donor rutin layan cukup pada
